"Story","Title","Result","Date","Stability","Duration (s)"
"Categories","Get All Categories","SUCCESS","2022-05-16T15:30:05.8444327+07:00[Asia/Jakarta]","0.0","11.79"
"Categories","Get By Id Categories","SUCCESS","2022-05-16T15:30:17.63927+07:00[Asia/Jakarta]","0.0","2.72"
"Categories","POST - Create Categories","SUCCESS","2022-05-16T15:30:20.4403895+07:00[Asia/Jakarta]","0.0","0.94"
"Comment","Get Product’s Comments","SUCCESS","2022-05-16T15:30:05.8639319+07:00[Asia/Jakarta]","0.0","11.1"
"Comment","POST - Create Comment","SUCCESS","2022-05-16T15:30:16.972488+07:00[Asia/Jakarta]","0.0","3.88"
"Login","POST - Authentication Login","SUCCESS","2022-05-16T15:30:05.7791781+07:00[Asia/Jakarta]","0.0","16.23"
"Products","Get All Products","SUCCESS","2022-05-16T15:30:05.8919954+07:00[Asia/Jakarta]","0.0","13.92"
"Products","Get By Id Products","SUCCESS","2022-05-16T15:30:19.8166843+07:00[Asia/Jakarta]","0.0","0.6"
"Products","Create Product","SUCCESS","2022-05-16T15:30:20.4280785+07:00[Asia/Jakarta]","0.0","1.63"
"Ratings","Get Product’s Ratings","SUCCESS","2022-05-16T15:30:05.700294+07:00[Asia/Jakarta]","0.0","3.87"
"Register","POST - Authentication Register","SUCCESS","2022-05-16T15:30:05.9156104+07:00[Asia/Jakarta]","0.0","17.39"
"Transactions","Get All Transactions","SUCCESS","2022-05-16T15:30:05.8765155+07:00[Asia/Jakarta]","0.0","11.68"
"Transactions","Get By Id Transactions","SUCCESS","2022-05-16T15:30:17.564368+07:00[Asia/Jakarta]","0.0","2.82"
"Transactions","POST - Create Transactions valid","SUCCESS","2022-05-16T15:30:20.393468+07:00[Asia/Jakarta]","0.0","0.85"
"Transactions","POST - Create Transactions Invalid","SUCCESS","2022-05-16T15:30:21.2560457+07:00[Asia/Jakarta]","0.0","2.84"
